Time,VelMag,TangentialForce,NormalForce,PosX,PosY,PosZ
0.01,0.584444,0,0,-0.026724,7.15094e-08,0.0463103
0.02,0.43544,0,0,-0.0294353,2.77446e-07,0.0506442
0.03,0.319883,0,0,-0.0318487,4.83385e-07,0.053481
0.04,0.250408,0,0,-0.0341285,6.89324e-07,0.0551057
0.05,0.226061,0,0,-0.0363799,1.64155e-06,0.0557036
0.06,0.240039,0,0,-0.0386516,1.18832e-05,0.0553995
0.07,0.278176,0,0,-0.0409668,4.20471e-05,0.0542814
0.08,0.328565,0,0,-0.0433402,9.83025e-05,0.0524063
0.09,0.385213,0,0,-0.0457796,0.000182597,0.0498071
0.1,0.445853,0,0,-0.0482874,0.000293536,0.0464973
0.11,0.509848,0,0,-0.0508619,0.000427535,0.0424744
0.12,0.577094,0,0,-0.0534987,0.000580011,0.0377248
0.13,0.534916,0,0,-0.056485,0.000815297,0.0334387
0.14,0.58057,0,0,-0.0596522,0.00108785,0.028923
0.15,0.650067,0,0,-0.0628766,0.00136805,0.0236668
0.16,0.543346,0,0,-0.0662833,0.00164615,0.0182003
0.17,0.515151,0,0,-0.0704853,0.00190314,0.0151161
0.18,0.528588,0,0,-0.075079,0.00214985,0.0127073
0.19,0.553912,0,0,-0.0798912,0.00238993,0.0102414
0.2,0.580092,0,0,-0.0848852,0.00262384,0.00756345
0.21,0.60548,0,0,-0.0900635,0.00285101,0.00468325
0.22,0.629992,0,0,-0.0954341,0.00307072,0.00163544
0.23,0.653996,0,0,-0.101003,0.00328236,-0.00155456
0.24,0.677787,0,0,-0.106774,0.00348552,-0.00487456
0.25,0.701471,0,0,-0.112747,0.00367992,-0.00831794
0.26,0.725041,0,0,-0.118924,0.00386536,-0.0118821
0.27,0.748622,0,0,-0.125305,0.00404168,-0.0155649
0.28,0.772177,0,0,-0.131889,0.00420882,-0.0193664
0.29,0.795753,0,0,-0.138678,0.00436672,-0.0232862
0.3,0.819322,0,0,-0.145671,0.00451538,-0.0273246
0.31,0.842837,0,0,-0.152869,0.00465481,-0.0314802
0.32,0.86644,0,0,-0.16027,0.00478505,-0.035753
0.33,0.889965,0,0,-0.167876,0.00490617,-0.0401436
0.34,0.913555,0,0,-0.175686,0.00501827,-0.044653
0.35,0.937113,0,0,-0.1837,0.00512144,-0.0492805
0.36,0.960712,0,0,-0.191919,0.00521577,-0.0540248
0.37,0.984297,0,0,-0.200341,0.0053014,-0.0588879
0.38,1.00787,0,0,-0.208968,0.00537845,-0.0638695
0.39,1.03147,0,0,-0.217799,0.00544705,-0.0689691
0.4,1.05495,0,0,-0.226834,0.00550734,-0.074186
0.41,1.07851,0,0,-0.236073,0.00555946,-0.0795191
0.42,1.10213,0,0,-0.245517,0.00560357,-0.0849707
0.43,1.12569,0,0,-0.255165,0.00563982,-0.0905411
0.44,1.14924,0,0,-0.265016,0.00566837,-0.0962291
0.45,1.17283,0,0,-0.275072,0.00568936,-0.102035
0.46,1.19637,0,0,-0.285333,0.00570294,-0.107958
0.47,1.22006,0,0,-0.295797,0.00570928,-0.114
0.48,1.24354,0,0,-0.306465,0.00570852,-0.120159
0.49,1.26712,0,0,-0.317338,0.00570082,-0.126436
0.5,1.2907,0,0,-0.328415,0.00568633,-0.132831
0.51,1.31425,0,0,-0.339695,0.0056652,-0.139344
0.52,1.33783,0,0,-0.35118,0.00563759,-0.145974
0.53,1.36141,0,0,-0.362869,0.00560363,-0.152723
0.54,1.38496,0,0,-0.374763,0.00556347,-0.15959
0.55,1.40856,0,0,-0.38686,0.00551725,-0.166574
0.56,1.43212,0,0,-0.399162,0.00546512,-0.173677
0.57,1.45569,0,0,-0.411667,0.00540721,-0.180897
0.58,1.47925,0,0,-0.424377,0.00534366,-0.188235
0.59,1.50285,0,0,-0.437291,0.00527461,-0.19569
0.6,1.52642,0,0,-0.450408,0.00520018,-0.203264
0.61,1.54999,0,0,-0.46373,0.00512049,-0.210956
0.62,1.57351,0,0,-0.477257,0.00503569,-0.218765
0.63,1.59715,0,0,-0.490987,0.00494589,-0.226692
0.64,1.62075,0,0,-0.504921,0.00485122,-0.234738
0.65,1.64421,0,0,-0.519059,0.00475178,-0.242902
0.66,1.6678,0,0,-0.533402,0.00464769,-0.251182
0.67,1.69136,0,0,-0.547949,0.00453907,-0.25958
0.68,1.715,0,0,-0.562699,0.00442602,-0.268096
0.69,1.73857,0,0,-0.577654,0.00430867,-0.27673
0.7,1.76207,0,0,-0.592813,0.00418711,-0.285482
0.71,1.78564,0,0,-0.608176,0.00406144,-0.294352
0.72,1.80924,0,0,-0.623743,0.00393177,-0.303339
0.73,1.83279,0,0,-0.639514,0.00379819,-0.312444
0.74,1.85639,0,0,-0.65549,0.00366081,-0.321667
0.75,1.87995,0,0,-0.671669,0.00351971,-0.331009
0.76,1.90353,0,0,-0.688052,0.00337499,-0.340468
0.77,1.9271,0,0,-0.70464,0.00322674,-0.350046
0.78,1.95062,0,0,-0.721431,0.00307504,-0.35974
0.79,1.97424,0,0,-0.738427,0.00291998,-0.369552
0.8,1.99776,0,0,-0.755627,0.00276165,-0.379482
0.81,2.02137,0,0,-0.773031,0.00260013,-0.38953
0.82,2.04492,0,0,-0.790638,0.0024355,-0.399696
0.83,2.06849,0,0,-0.80845,0.00226784,-0.40998
0.84,2.09203,0,0,-0.826467,0.00209721,-0.420381
0.85,2.1156,0,0,-0.844687,0.00192371,-0.4309
0.86,2.13917,0,0,-0.863111,0.00174739,-0.441538
0.87,2.16279,0,0,-0.881739,0.00156834,-0.452293
0.88,2.1863,0,0,-0.900571,0.00138662,-0.463166
0.89,2.20988,0,0,-0.919608,0.00120231,-0.474156
0.9,2.23346,0,0,-0.938848,0.00101546,-0.485266
0.91,2.257,0,0,-0.958293,0.000826147,-0.496491
0.92,2.2806,0,0,-0.977941,0.000634429,-0.507835
0.93,2.30416,0,0,-0.997794,0.000440371,-0.519297
0.94,2.32769,0,0,-1.01785,0.000244033,-0.530877
0.95,2.3513,0,0,-1.03811,4.54736e-05,-0.542574
0.96,2.37481,0,0,-1.05858,-0.000155249,-0.55439
0.97,2.39838,0,0,-1.07925,-0.000358078,-0.566324
0.98,2.422,0,0,-1.10012,-0.000562959,-0.578375
0.99,2.44554,0,0,-1.1212,-0.000769838,-0.590544
1,2.46909,0,0,-1.14248,-0.000978664,-0.60283
